,trialNum,trialId,itiPeriod,samplePeriod,xSpeed,ySpeed,speed,time,xPosition,yPosition,fraction,corPos,corWidth,licks,water,scimFileNum,scimFrameNum,trialType,wallDistOL
29,0.0,15,0.0,1.0,19.69701385,23.32129669,30.52630424,4.08450704225,3.227999926,59.66094971,0.4034999907,16.0,30.0,0.0,0.0,0,29,OL_16R,16.0
30,0.0,15,0.0,1.0,4.528634548,23.17032051,23.60873413,4.22535211268,3.368000031,60.46154022,0.4210000038,16.0,30.0,0.0,0.0,0,30,OL_16R,16.0
31,0.0,15,0.0,1.0,17.36151505,17.94756126,24.97072601,4.3661971831,3.50999999,63.11777496,0.4387499988,16.0,30.0,0.0,0.0,0,31,OL_16R,16.0
32,0.0,15,0.0,1.0,1.337426543,31.00186348,31.03069878,4.50704225352,3.650000095,63.62732697,0.4562500119,16.0,30.0,0.0,0.0,0,32,OL_16R,16.0
33,0.0,15,0.0,1.0,1.275328517,15.98769188,16.03847694,4.64788732394,3.792000055,63.80749893,0.4740000069,16.0,30.0,0.0,0.0,0,33,OL_16R,16.0
34,0.0,15,0.0,1.0,9.959524155,10.32911873,14.34861755,4.78873239437,3.931999922,65.03281403,0.4914999902,16.0,30.0,0.0,0.0,0,34,OL_16R,16.0
35,0.0,15,0.0,1.0,6.856571198,12.14817524,13.94957829,4.92957746479,4.072000027,65.21169281,0.5090000033,16.0,30.0,0.0,0.0,0,35,OL_16R,16.0
36,0.0,15,0.0,1.0,33.47058105,-10.65594482,35.12590027,5.07042253521,4.214000225,68.34190369,0.5267500281,16.0,30.0,0.0,0.0,0,36,OL_16R,16.0
37,0.0,15,0.0,1.0,32.40353012,-0.3032877445,32.40494919,5.21126760563,4.354000092,72.75164032,0.5442500114,16.0,30.0,0.0,0.0,0,37,OL_16R,16.0
38,0.0,15,0.0,1.0,29.86968231,19.3848381,35.60856247,5.35211267606,4.493999958,77.07603455,0.5617499948,16.0,30.0,0.0,0.0,0,38,OL_16R,16.0
39,0.0,15,0.0,1.0,14.27718544,8.272512436,16.50068092,5.49295774648,4.636000156,80.93556213,0.5795000196,16.0,30.0,0.0,0.0,0,39,OL_16R,16.0
40,0.0,15,0.0,1.0,21.98853874,10.38031387,24.31556702,5.6338028169,4.776000023,82.8217926,0.5970000029,16.0,30.0,0.0,0.0,0,40,OL_16R,16.0
41,0.0,15,0.0,1.0,6.283551216,23.61023712,24.4320755,5.77464788732,4.918000221,84.38554382,0.6147500277,16.0,30.0,0.0,0.0,0,41,OL_16R,16.0
42,0.0,15,0.0,1.0,21.22377396,16.06122208,26.61599922,5.91549295775,5.058000088,86.7370224,0.632250011,16.0,30.0,0.0,0.0,0,42,OL_16R,16.0
