,channelPeak,distLayer4,layer,sourceId,numSpikes,spkAmp,waveformSNR,firingDrift,spkAmpDrift,spkWidth,cellType,rateFA,peakTimeISI,pVal,pValClosed
0,8.0,200.0,Layer5a,0.0,4474,433.721502012,28.2783900785,-45.2371606863,-12.7683962883,479.711788466,RegularSpiker,0.121065375303,0.00488294314381,0.431141803406,0.00169165996237
1,8.2,196.0,Layer5a,1.0,8309,68.2868877121,10.7297661275,50.458558503,16.5409282686,627.123223463,RegularSpiker,0.050390526581,0.0121739130435,0.511109433445,0.00943685029442
2,9.0,180.0,Layer5a,2.0,2384,109.424182047,13.9432823107,53.8979374693,-1.10066754838,512.192274143,RegularSpiker,0.145348837209,0.00334448160535,0.00138633192558,1.39334426404e-09
3,10.2,156.0,Layer5a,3.0,9987,122.157705017,17.2215578606,-33.2824541823,3.91073414999,579.651744396,RegularSpiker,0.0935940099834,0.00521739130435,4.00334055824e-05,0.0621521606308
4,11.0,140.0,Layer5a,4.0,5442,104.794882396,12.968617341,21.0062955095,12.4624351191,740.804923334,RegularSpiker,0.0,0.00628762541806,2.856042847e-06,1.22349095856e-07
5,10.3,154.0,Layer5a,5.0,7734,79.6910395656,11.6268074547,20.7870011206,9.69069125826,707.075188207,RegularSpiker,0.0543109300747,0.00367892976589,0.00630734529749,3.81804895403e-08
6,10.1,158.0,Layer5a,6.0,3276,59.3403540904,8.52433813352,32.5932874713,-3.59490633582,570.906998252,RegularSpiker,0.13619339462,0.00454849498328,6.99629355631e-11,2.24959532956e-18
7,15.0,60.0,Layer4,7.0,575,97.942173913,12.8494121614,74.4885118416,33.1046222366,714.570684902,RegularSpiker,0.435729847495,0.00401337792642,0.0187635066287,0.00533831816333
8,14.9,62.0,Layer4,8.0,1568,88.3598533163,13.9576638982,-33.2788908246,-7.80159761109,704.576689309,RegularSpiker,0.0751314800902,0.00729096989967,2.19236603195e-09,6.9829774962e-14
9,14.5,70.0,Layer4,9.0,800,67.4453125,11.6004345057,-185.87703252,-5.03311706422,698.330442063,RegularSpiker,0.0,0.0057525083612,0.955904863013,7.19792171696e-07
10,13.9,82.0,Layer4,10.0,1890,56.9722222222,10.5958746809,5.58566696778,1.36544057947,797.021148544,RegularSpiker,0.123380629241,0.0186622073579,0.351600900086,0.289398586982
11,13.1,98.0,Layer4,11.0,498,61.0848393574,9.95687225728,-15.7475430176,-8.923721003,798.270397994,RegularSpiker,0.54347826087,0.00983277591973,0.571687995934,0.374467880722
12,23.8,-116.0,Layer23,12.0,360,164.904166667,17.4670046747,-21.7841011743,-4.35549758679,789.52565185,RegularSpiker,0.404858299595,0.00428093645485,0.000486739150804,2.19904799275e-07
13,4.8,264.0,Layer5a,13.0,2532,66.4558649289,12.5036750172,39.7879500122,3.58755579701,624.624724565,RegularSpiker,0.0437636761488,0.0147826086957,0.657288585235,0.000137686988372
