,label,0.0,3.0,6.0,9.0,12.0,15.0,18.0
19.0,meanRate,25.0212431025,31.5855261046,36.2765977318,43.8110294918,49.2205077559,58.6317787234,17.6991150442
19.0,numTrials,31.0,34.0,36.0,36.0,36.0,36.0,1.0
19.0,stdRate,10.9822677929,15.812230005,13.9908351,15.008261618,17.5886296472,28.0522042962,
20.0,meanRate,0.732145009712,0.355436211062,0.492297599153,0.053816293742,0.72442726014,1.99187950286,4.42477876106
20.0,numTrials,31.0,34.0,36.0,36.0,36.0,36.0,1.0
20.0,stdRate,1.10846694015,0.935113583755,1.59609594546,0.184712442943,2.31313001869,3.78362705111,
21.0,meanRate,3.85981510284,4.23883610488,8.85640177581,10.5574958207,9.99384390793,10.5695286493,13.2743362832
21.0,numTrials,31.0,34.0,36.0,36.0,36.0,36.0,1.0
21.0,stdRate,2.73106902216,2.74245252438,4.14564384038,4.40461489567,5.97816345774,6.42937266017,
22.0,meanRate,9.61196874005,14.7173839671,14.9264902012,13.3942156338,11.2390565122,15.9004074589,22.1238938053
22.0,numTrials,31.0,34.0,36.0,36.0,36.0,36.0,1.0
22.0,stdRate,5.39387264312,8.5281156159,9.23452158038,7.5763849122,8.45308892433,9.83916935706,
23.0,meanRate,0.0217358154584,0.044428647592,0.0776249744904,0.0453286786066,0.628009577996,0.106512591472,0.0
23.0,numTrials,31.0,34.0,36.0,36.0,36.0,36.0,1.0
23.0,stdRate,0.0779336552748,0.259061306862,0.251970765174,0.152697701261,1.60249916791,0.476558542484,
24.0,meanRate,4.18459266075,4.09385721452,3.36870485425,3.81619193794,7.75233562855,12.34457187,8.84955752212
24.0,numTrials,31.0,34.0,36.0,36.0,36.0,36.0,1.0
24.0,stdRate,3.31355770798,4.76999250807,4.1232118731,3.75029502281,5.76037164043,9.52209994846,
25.0,meanRate,1.93185388305,3.97327158556,7.97753337029,12.445272475,6.00318978082,4.09204180246,8.84955752212
25.0,numTrials,31.0,34.0,36.0,36.0,36.0,36.0,1.0
25.0,stdRate,1.96828024174,5.24270786977,9.1302525315,11.3752796491,6.49214632108,6.22053972592,
26.0,meanRate,1.41997445469,1.20900395113,1.71986361283,2.55024716827,4.44984449818,0.62204953272,0.0
26.0,numTrials,31.0,34.0,36.0,36.0,36.0,36.0,1.0
26.0,stdRate,2.51569674047,1.99367905333,2.07321217764,3.55637051447,7.18602902623,1.48704594269,
27.0,meanRate,11.1779787929,14.0100517421,15.9397449573,21.8159352973,29.4277870356,15.4866167765,4.42477876106
