,channelPeak,distLayer4,layer,sourceId,numSpikes,spkAmp,waveformSNR,firingDrift,spkAmpDrift,spkWidth,cellType,rateFA,peakTimeISI,pVal,pValIpsi,pValClosed
0,12.1,198.0,Layer5a,0.0,9629,100.316310105,11.4236408921,80.4727072503,-20.8094732186,702.078190411,RegularSpiker,0.095067075103,0.00301003344482,0.662902354616,0.967681834079,0.653795599149
1,10.6,228.0,Layer5a,1.0,1779,120.2717819,13.5802853246,-111.416207961,25.144055539,505.946026897,RegularSpiker,0.0,0.00709030100334,0.800871801562,0.922633233574,0.442937593036
2,5.0,340.0,Layer5b,2.0,14533,71.2947946054,8.72560741896,129.394520473,36.2420855179,787.027152951,RegularSpiker,10.0431214355,0.00234113712375,4.4562790536e-07,0.754578816031,2.62423430727e-26
3,5.9,322.0,Layer5b,3.0,6725,60.2992936803,7.44401853797,38.4350143789,14.872423586,710.822936554,RegularSpiker,31.9378900898,0.00220735785953,2.3226778616e-10,0.0875563841368,2.1555349187e-30
4,3.3,374.0,Layer5b,4.0,1655,73.4444108761,10.2638400537,109.359858633,11.5099410189,542.174260922,RegularSpiker,0.327439423707,0.0028762541806,0.0743620101477,0.00237984035832,2.51196622614e-05
5,8.2,276.0,Layer5a,5.0,17693,65.7480500763,9.49044622675,100.586630039,16.5541622756,293.573620545,FastSpiker,0.313729964064,0.0047491638796,0.985862688433,0.866780926893,0.666212807627
6,9.8,244.0,Layer5a,6.0,16108,43.5997175317,6.38501814981,55.0389821535,12.5112075021,212.372406352,FastSpiker,1.24788361447,0.00454849498328,0.86302808284,0.218042541782,0.652817936846
7,10.2,236.0,Layer5a,7.0,6766,48.1068208691,6.77275043511,17.4153230079,18.5706197571,598.390486133,RegularSpiker,0.348273773471,0.0131772575251,0.857963028215,0.273793710758,0.0671303487432
8,10.0,240.0,Layer5a,8.0,11138,75.5644415514,10.2589736351,57.1206171631,-2.70006694867,563.411501557,RegularSpiker,0.501093294461,0.0161204013378,0.735517380471,0.510365006206,0.648347123441
9,9.0,260.0,Layer5a,9.0,9137,52.8590346941,7.70976763215,6.98177222613,1.48049263093,620.876976217,RegularSpiker,1.0139275766,0.0028762541806,0.0210104735424,0.0746549767031,0.261886444981
10,12.7,186.0,Layer5a,10.0,2112,45.8804450758,8.29893010198,36.2028301887,4.68300216037,633.369470708,RegularSpiker,0.102511532547,0.0076254180602,0.000142759814444,0.778911953699,8.57199457161e-07
11,15.0,140.0,Layer5a,11.0,299,108.362876254,12.1623927128,-13.1570644286,-5.38313267071,787.027152951,RegularSpiker,0.0,0.00548494983278,0.0125784777847,0.298260588548,0.027357010936
12,15.0,140.0,Layer5a,12.0,8067,47.3764410562,8.14089092731,58.2891865532,7.15087727398,795.771899095,RegularSpiker,1.34092346616,0.00200668896321,6.83197539856e-08,0.933035122812,2.32679979049e-14
13,17.0,100.0,Layer4,13.0,42519,49.9820844799,7.70807909858,37.8568604402,-1.95793656922,274.834878808,FastSpiker,8.65500389546,0.00267558528428,1.23301818704e-07,0.000586160863544,2.55948904656e-09
14,17.9,82.0,Layer4,14.0,467,71.5353319058,8.066015561,141.897297079,-13.7333251582,785.777903502,RegularSpiker,1.46341463415,0.00321070234114,0.931743366811,0.244668635599,0.554919646931
15,11.6,208.0,Layer5a,15.0,2056,34.3070282101,5.48319279844,-19.5773070993,12.9576850763,625.873974014,RegularSpiker,0.316789862724,0.0189966555184,0.0948952071242,0.828357494843,0.141379399568
16,1.8,404.0,Layer5b,16.0,268,105.222014925,13.3186936392,72.5288651084,12.7482074504,542.174260922,RegularSpiker,8.88888888889,0.00254180602007,0.638676132096,0.0666702583274,0.0259240000058
17,9.1,258.0,Layer5a,17.0,2235,36.7806487696,6.15976023128,1.47904267443,13.6057661762,319.807858977,FastSpiker,0.385728061716,0.0176588628763,0.776483811797,0.976499464806,0.036764057567
18,9.0,260.0,Layer5a,18.0,5629,38.4547432937,7.0401637407,-48.0724817907,11.8953887679,298.570618342,FastSpiker,0.34753978416,0.00862876254181,0.928788500951,0.702479527949,0.490354879263
19,16.0,120.0,Layer5a,19.0,1100,101.099090909,13.7105008764,-63.6174957118,16.9267246554,739.555673884,RegularSpiker,0.10101010101,0.0167892976589,3.50605841148e-09,0.684533463669,4.21511561018e-34
