,channelPeak,distLayer4,layer,sourceId,numSpikes,spkAmp,waveformSNR,firingDrift,spkAmpDrift,spkWidth,cellType,rateFA,peakTimeISI,pVal,pValClosed
0,15.0,86.0,Layer5a,0.0,8097,304.496449302,19.7389756303,-47.849953401,22.0837247924,790.774901299,RegularSpiker,0.0,0.00608695652174,3.52726318523e-19,0.000134231382201
1,13.8,110.0,Layer5a,1.0,928,135.138469828,12.1085352481,64.2756725103,0.666341638008,644.612715751,RegularSpiker,0.128040973111,0.00628762541806,1.74851367618e-72,0.715646103165
2,12.2,142.0,Layer5a,2.0,4125,112.518969697,10.1615294157,9.07804641533,3.0895527409,580.900993845,RegularSpiker,0.167457437901,0.00829431438127,2.7724101086e-22,0.571236414483
3,12.9,128.0,Layer5a,3.0,562,101.18594306,12.0105779998,12.9652692917,-0.707406554918,652.108212445,RegularSpiker,0.0,0.00394648829431,1.38303360575e-20,0.852703708062
4,2.9,328.0,Layer5b,4.0,38523,207.105196895,19.6704390389,-13.6880685175,-8.81134474081,156.156181141,FastSpiker,1.19586977136,0.00742474916388,0.0,2.51759336278e-117
5,3.1,324.0,Layer5b,5.0,1780,96.2824438202,8.8895370112,-17.9987804556,1.2190304046,602.13823448,RegularSpiker,0.0,0.00321070234114,2.62670596401e-157,3.3257894505e-50
6,1.1,364.0,Layer5b,6.0,3030,135.021039604,14.1322714237,-1.47662002273,7.99848298015,789.52565185,RegularSpiker,0.0,0.00354515050167,3.28434825299e-46,2.01791469634e-07
7,17.1,44.0,Layer4,7.0,1848,110.83590368,12.0116267782,-9.38409087244,9.62761403351,787.027152951,RegularSpiker,0.0,0.0094983277592,7.46889202409e-47,0.948410170323
8,16.9,48.0,Layer4,8.0,1834,122.163304253,13.7236223538,-69.5754747915,0.793522875001,788.276402401,RegularSpiker,0.0,0.00675585284281,0.00458537866094,0.261222215394
9,19.0,6.0,Layer4,9.0,1989,164.078054299,13.6378462855,-20.7478279291,0.187231145702,608.384481726,RegularSpiker,0.566393958464,0.00267558528428,1.18178125443e-12,6.16528148704e-05
10,24.0,-94.0,Layer4,10.0,458,142.639737991,12.9442060201,-24.3849453573,-8.39203959305,789.52565185,RegularSpiker,60.7692307692,0.00180602006689,1.00678390236e-19,0.0451842480293
11,22.0,-54.0,Layer4,11.0,2930,178.350511945,13.1493634107,-24.5886152462,-12.737930901,528.432516982,RegularSpiker,22.0629231382,0.00180602006689,1.39509936157e-33,2.56747231365e-09
12,29.9,-212.0,Layer23,12.0,1089,118.880624426,13.7347921426,-36.6485848079,7.53163797951,788.276402401,RegularSpiker,0.0,0.00809364548495,1.46958723107e-74,4.83748866487e-20
13,27.9,-172.0,Layer23,13.0,1258,72.3320747218,7.04583346662,106.040773943,13.2227545742,784.528654053,RegularSpiker,5.21739130435,0.00234113712375,1.6998440214e-22,0.000682623628922
14,25.1,-116.0,Layer23,14.0,875,69.1911428571,6.48553987908,-25.1962935299,-14.3087668173,787.027152951,RegularSpiker,15.5963302752,0.00180602006689,1.0669625142e-143,1.26659138895e-11
15,13.0,126.0,Layer5a,15.0,3522,87.0095116411,10.25225276,-53.9797779987,1.24337774162,679.591700326,RegularSpiker,0.0,0.0113712374582,8.84218107719e-66,0.584704937211
16,14.3,100.0,Layer5a,16.0,1821,79.0599945085,9.09727003862,-43.5014898933,4.96561153969,784.528654053,RegularSpiker,0.845803513338,0.0155852842809,4.62021274679e-57,4.47666884201e-08
17,22.0,-54.0,Layer4,17.0,3856,89.8964600622,8.44319786419,-28.3364577781,4.94308652804,688.33644647,RegularSpiker,14.9034303834,0.00200668896321,2.56241143369e-169,4.50263020377e-33
18,14.1,104.0,Layer5a,18.0,1666,69.8602941176,8.89184593928,-23.9968782253,1.39118675005,789.52565185,RegularSpiker,0.299177262528,0.0121739130435,6.90435711581e-35,8.48595686382e-16
19,9.9,188.0,Layer5a,19.0,34389,224.881626392,18.6817550692,26.7790685843,1.71019289878,635.867969607,RegularSpiker,0.0,0.0195317725753,0.0,5.09410353736e-58
20,12.2,142.0,Layer5a,20.0,35376,103.765391791,10.1226752149,4.15041897739,3.03851815387,584.648742192,RegularSpiker,1.73765689175,0.00608695652174,9.13231804151e-110,0.973478707089
21,5.1,284.0,Layer5b,21.0,1350,104.006481481,11.5844342256,8.96887237571,-3.22366845368,557.165254312,RegularSpiker,0.815956482321,0.00267558528428,1.9010146185e-65,8.33607793554e-15
22,26.0,-134.0,Layer23,22.0,1821,62.0961010434,7.77414459187,0.0,26.1088786664,787.027152951,RegularSpiker,0.629650829994,0.0120401337793,5.51266861285e-07,0.852059445413
23,26.0,-134.0,Layer23,23.0,3264,69.7743566176,7.81978517034,-186.659819074,44.687362687,783.279404604,RegularSpiker,0.100033344448,0.0115050167224,7.36646265824e-142,8.90677506154e-09
24,25.9,-132.0,Layer23,24.0,1305,55.4034482759,5.78381447383,200.308897798,-0.209666037296,798.270397994,RegularSpiker,12.8475551294,0.00200668896321,1.05641750616e-69,3.8310134452e-11
25,22.9,-72.0,Layer4,25.0,4584,79.5025632635,6.54152270236,-44.9047001012,-1.9935516711,504.696777448,RegularSpiker,16.139088729,0.00180602006689,5.58787138082e-225,2.94337109832e-29
26,4.7,292.0,Layer5b,26.0,759,81.6643610013,9.15177794164,-25.8990863016,1.07269625814,669.597704733,RegularSpiker,0.0,0.00963210702341,1.61599566784e-91,4.17216492554e-29
27,9.2,202.0,Layer5a,27.0,12343,98.3429069108,12.2330003214,-66.6815835283,7.11572527257,533.429514778,RegularSpiker,0.0169649673424,0.0188628762542,2.41427778842e-114,1.32036925574e-40
28,9.2,202.0,Layer5a,28.0,32646,137.229430864,14.5840358486,18.2614899848,2.50397209501,562.162252108,RegularSpiker,0.137127185465,0.0169899665552,0.0,1.21114479624e-33
