,channelPeak,distLayer4,layer,sourceId,numSpikes,spkAmp,waveformSNR,firingDrift,spkAmpDrift,spkWidth,cellType,rateFA,peakTimeISI,pVal
0,2.0,140.0,Layer5a,0.0,54671,134.38933804,15.4615433127,-26.9898110687,-0.420998927632,543.423510371,RegularSpiker,0.118572611609,0.0193311036789,1.65368449966e-70
1,5.0,80.0,Layer5a,1.0,7493,70.5799079141,10.0542804468,-13.661735328,15.905398189,727.063179393,RegularSpiker,0.0618524818308,0.0130434782609,5.11551697348e-155
2,4.2,96.0,Layer5a,2.0,17569,60.2372645,10.4945776619,-37.308834097,-1.31217283854,723.315431046,RegularSpiker,0.266832143965,0.0142474916388,1.99657956253e-05
3,2.0,140.0,Layer5a,3.0,33261,81.8750638886,9.38627659928,65.604758811,2.15770263187,256.096137071,FastSpiker,1.28857879188,0.00267558528428,0.0
4,10.0,-20.0,Layer4,4.0,4830,74.3456521739,8.83809535821,-50.3630871506,-8.87894136274,675.843951979,RegularSpiker,0.645309979258,0.00301003344482,1.90570572388e-197
5,9.0,0.0,Layer4,5.0,7189,50.0615175963,5.25465326218,11.8027813761,-3.50050618286,722.066181597,RegularSpiker,6.04779710616,0.00234113712375,6.2589812082e-186
