,label,0.0,5.0,10.0,15.0,20.0,25.0,30.0,35.0,40.0,45.0,50.0,55.0,60.0,65.0
0,meanRate,0.196314551236,0.888073552309,0.985025052683,0.600613793377,0.884049643227,0.678271866491,0.758370561095,0.804279293668,0.700179807101,0.722981054621,0.696641604067,0.263573320907,0.151485079005,-0.385022733878
0,numTrials,16.0,14.0,12.0,15.0,15.0,15.0,15.0,14.0,13.0,12.0,11.0,7.0,4.0,1.0
0,stdRate,0.437296036128,0.887868605282,1.35454269605,0.423987676923,0.907916594396,0.551111420579,0.737373948837,0.571180156939,0.469847298579,0.449985259652,0.486372919242,0.58370306577,0.483059160427,
1,meanRate,1.2882282079,0.856792416962,0.896283006432,0.679202750587,0.622422320997,0.277648562112,0.392324074892,0.395453713924,0.268047283141,0.277897505853,0.334548876088,0.303044610557,0.180755119061,1.04081865561
1,numTrials,16.0,14.0,12.0,15.0,15.0,15.0,15.0,14.0,13.0,12.0,11.0,7.0,4.0,1.0
1,stdRate,0.853006778108,0.771179050708,0.943130925041,1.01254674857,0.806880665555,0.476048489356,0.633936724983,0.59145127387,0.490334549041,0.53233566355,0.774236706017,0.661526505591,0.130615127893,
2,meanRate,0.0692478604666,-0.0220087593931,-0.0528494673629,-0.0261932848741,-0.0227693166095,-0.0325540502467,-0.0329129547623,-0.0375381498257,-0.0637457982066,-0.0458075464649,-0.036496337083,-0.151149268442,0.151825608358,-0.0589735726782
2,numTrials,16.0,14.0,12.0,15.0,15.0,15.0,15.0,14.0,13.0,12.0,11.0,7.0,4.0,1.0
2,stdRate,0.167932293547,0.195918831322,0.161808082154,0.160144573789,0.138714000128,0.117549613521,0.101575419303,0.148448963806,0.146624608917,0.132482598265,0.135236291976,0.181340121221,0.0781914847079,
3,meanRate,0.0541070856106,0.0661018945178,0.0720974930357,0.0883819225589,-0.0867383305569,0.0615509849097,0.0293213586362,0.0396601171517,0.0516391247069,0.165854957318,-0.0920352154467,0.217812499317,-0.0848456164454,-0.155763239875
3,numTrials,16.0,14.0,12.0,15.0,15.0,15.0,15.0,14.0,13.0,12.0,11.0,7.0,4.0,1.0
3,stdRate,0.16034362381,0.112998770603,0.260910639179,0.267669248151,0.254072211282,0.197280739372,0.157306436372,0.159739758237,0.336887324018,0.24424321667,0.419128114582,0.32887776561,0.588800711888,
4,meanRate,0.154495087387,0.0571534131943,0.149790697757,0.0967136761058,-0.00190403285773,0.0522337097686,0.0734947012262,-0.00109176010434,0.0249763431813,0.148039213142,0.0791670743921,-0.00148235948373,0.0753270915635,-0.330140464749
4,numTrials,16.0,14.0,12.0,15.0,15.0,15.0,15.0,14.0,13.0,12.0,11.0,7.0,4.0,1.0
4,stdRate,0.173425689374,0.148579094606,0.238791208961,0.233738062664,0.110542343058,0.161208806391,0.184802261739,0.116862347398,0.224956121606,0.190710015283,0.171627780349,0.154406968137,0.275363627016,
5,meanRate,0.137631093994,0.180486643524,0.0310348394434,0.0973535404534,0.0843813029459,0.142703653959,0.10619275807,0.174972321054,0.119288608646,0.141836281664,0.0507543221112,0.0617421279259,0.133034074551,0.199468127868
5,numTrials,16.0,14.0,12.0,15.0,15.0,15.0,15.0,14.0,13.0,12.0,11.0,7.0,4.0,1.0
5,stdRate,0.238174463596,0.290324004724,0.269947492522,0.252455571708,0.310143504059,0.324895718218,0.206603743613,0.48568830771,0.430086014955,0.545022111516,0.221234580357,0.253721887374,0.335264761512,
6,meanRate,0.0978560588051,0.0026365928138,0.0709678022289,0.00847726024734,0.002345434026,0.0265884586098,-0.00535451106629,-0.0187207255139,0.0415819852082,-0.0102613870278,-0.0715898733766,-0.0302709168802,0.0268786682047,-0.00743260460223
6,numTrials,16.0,14.0,12.0,15.0,15.0,15.0,15.0,14.0,13.0,12.0,11.0,7.0,4.0,1.0
6,stdRate,0.066301119714,0.144707026032,0.193906421892,0.0819181028969,0.167725801051,0.173718673896,0.118402938763,0.108433290512,0.185364247805,0.175371095401,0.156580324931,0.142902202266,0.102438460782,
7,meanRate,0.101612636033,0.400019318264,0.334068200167,0.615415402412,0.46191211977,0.495998246571,0.499015219426,0.462975350828,0.469908768086,0.67527014485,0.408988368349,0.690816501106,-0.411960352268,0.323044741649
7,numTrials,16.0,14.0,12.0,15.0,15.0,15.0,15.0,14.0,13.0,12.0,11.0,7.0,4.0,1.0
7,stdRate,0.180515208036,0.33533088521,0.47414542771,0.408784325533,0.434660515318,0.459701473877,0.420057796171,0.344986890155,0.193285687639,0.637891958063,0.578485005682,0.425116765989,0.431772015369,
8,meanRate,0.0176524239283,-0.0612077049975,0.0241147185533,0.0679402364581,0.115384317218,0.0232417638376,0.0793714877526,0.101170794351,0.176522824358,0.0457794854933,0.0921967548972,0.301775981125,0.143464536645,0.00203628826987
8,numTrials,16.0,14.0,12.0,15.0,15.0,15.0,15.0,14.0,13.0,12.0,11.0,7.0,4.0,1.0
8,stdRate,0.0831355468993,0.192741102725,0.180979468462,0.171497435013,0.238196582959,0.16624581269,0.322445177174,0.306018223259,0.316763513326,0.163048565937,0.142320247108,0.760366435085,0.293573922174,
9,meanRate,0.0350275772901,0.273899220959,0.490589130284,0.70178812881,0.354854196169,0.601369714635,0.529006436758,0.687564113606,0.826255313501,0.82511596977,0.825255881145,0.600544736186,1.07236772424,0.354999707966
9,numTrials,16.0,14.0,12.0,15.0,15.0,15.0,15.0,14.0,13.0,12.0,11.0,7.0,4.0,1.0
