,label,0.0,5.0,10.0,15.0,20.0,25.0
25,meanRate,0.022458090229,0.183284529021,0.474309390361,0.574351193263,0.570365189401,0.775052128282
25,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
25,stdRate,0.198423466889,0.307005854051,,,,
26,meanRate,0.453767551458,0.730327678307,1.31916587525,1.48160792914,0.91869716211,1.03251249111
26,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
26,stdRate,0.205124412594,0.321750875144,,,,
27,meanRate,0.0763870483596,0.28181881347,0.498318656329,0.42079414812,0.279757613352,0.372002400107
27,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
27,stdRate,0.0498488140075,0.0629029356251,,,,
28,meanRate,0.0301311092954,0.178499445255,0.0223584164157,-0.0165709923092,-0.0495662618306,-0.0963765415622
28,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
28,stdRate,0.0687433947832,0.211591650959,,,,
29,meanRate,0.214535865328,0.217464054074,0.471430906763,0.557872486034,0.433753656685,0.716408007288
29,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
29,stdRate,0.303066494384,0.422698156529,,,,
30,meanRate,0.450479193776,0.659124277439,-0.158073452216,-0.0435005435351,-0.208290107661,-0.137790144015
30,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
30,stdRate,0.720021879939,1.20334781145,,,,
31,meanRate,0.00927392914651,0.107901285048,0.0325986713965,0.104697590551,0.112857892944,0.0667773671148
31,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
31,stdRate,0.124332981548,0.0602422989605,,,,
32,meanRate,0.069712412091,-0.0272410795773,-0.0277227127034,-0.0515524966937,-0.0427643057287,-0.340437291504
32,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
32,stdRate,0.108132836885,0.109638309935,,,,
33,meanRate,0.195736942823,0.167295630825,0.247360152199,0.128935182057,0.0998309046793,-0.118135087086
33,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
33,stdRate,0.124229412236,0.17640727679,,,,
34,meanRate,0.146419703935,0.389075647139,0.0604574611894,0.0867908229887,-0.0276524075493,0.255840034908
34,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
34,stdRate,0.276193273812,0.542389855667,,,,
35,meanRate,-0.0247044625133,-0.0548096340482,-0.0701483878474,-0.204691337211,-0.0123416988677,0.381819000938
35,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
35,stdRate,0.0875963076699,0.0466397518259,,,,
36,meanRate,0.154873109187,0.151142241756,0.130048240258,0.0731909549524,0.0177406373201,0.119092504661
36,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
36,stdRate,0.124549900609,0.101279250406,,,,
37,meanRate,-0.0942438396029,-0.0550357795994,-0.195257500158,-0.280348068816,-0.256963904547,-0.127029069854
37,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
37,stdRate,0.0940779017016,0.111507742941,,,,
38,meanRate,0.0365934511842,0.0103161729751,-0.0394508977267,-0.0120492779489,-0.00568198227877,-0.0119538235837
38,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
38,stdRate,0.109599227845,0.0367478060326,,,,
39,meanRate,0.30263442765,0.468494798059,-0.0296694248592,0.00219690673781,-0.0264460307103,0.0560955190542
39,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
39,stdRate,0.216002202961,0.608605988047,,,,
40,meanRate,0.295433159384,0.120880574611,0.0641500061113,0.160613362424,-0.0188322542619,0.0508951885555
40,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
40,stdRate,0.223423582949,0.155026406137,,,,
41,meanRate,0.243471315718,0.604179162272,-0.0211180442246,-0.131191016942,0.0518768779359,0.273432173304
41,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
41,stdRate,0.341452160692,1.14312835777,,,,
42,meanRate,0.150869920175,0.0377603352467,-0.132914561427,-0.108163661747,-0.106677206486,-0.229414174519
42,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
42,stdRate,0.0954006673228,0.129705093863,,,,
43,meanRate,0.0320799199777,-0.0465327112113,-0.0777104564804,-0.0686551391345,0.161631521225,-0.167701810807
43,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
