,channelPeak,distLayer4,layer,sourceId,numSpikes,spkAmp,waveformSNR,firingDrift,spkAmpDrift,spkWidth,cellType,rateFA,peakTimeISI,pVal
0,2.0,368.0,Layer5b,0.0,34287,108.851328492,15.3121574222,-6.08157845422,-9.29687670844,394.762825925,IntermediateSpiker,0.00606152447341,0.0183277591973,5.44213324121e-59
1,4.1,326.0,Layer5b,1.0,30376,201.834820253,16.4064136225,-32.1271179001,-8.60420905127,166.150176734,FastSpiker,0.816550588397,0.00401337792642,9.14359515377e-214
2,7.1,266.0,Layer5b,2.0,26153,130.67096509,12.3861647158,223.325716792,-17.7648717116,644.612715751,RegularSpiker,0.0,0.00401337792642,1.11735618522e-12
3,8.9,230.0,Layer5b,3.0,8212,131.013121042,8.74833636277,-11.89106494,6.94495091686,262.342384317,FastSpiker,1.38075313808,0.00234113712375,2.30248385837e-150
4,10.2,204.0,Layer5a,4.0,1957,99.8714869699,6.43767528746,-56.1922717742,-3.89594102334,683.339448674,RegularSpiker,0.429491768074,0.00588628762542,5.27879084121e-21
5,13.0,148.0,Layer5a,5.0,83925,73.1345635985,6.92959679452,-10.804737399,0.644004220924,750.798918927,RegularSpiker,2.37354603663,0.00267558528428,2.10313183661e-25
6,10.9,190.0,Layer5a,6.0,78777,56.7723098112,4.81932109887,53.3700643997,-1.38585046339,784.528654053,RegularSpiker,3.01148831806,0.0028762541806,3.46805873489e-158
7,8.9,230.0,Layer5b,7.0,188645,118.295328527,9.01090224619,-39.7480665959,10.9358051947,264.840883215,FastSpiker,14.3693652819,0.00234113712375,0.0
8,0.0,408.0,Layer5b,8.0,6781,25.7170771273,9.47596397962,-3.14594361866,-6.86765926039,179.891920675,FastSpiker,0.21437994723,0.0155852842809,9.307113592e-102
9,4.8,312.0,Layer5b,9.0,12280,65.1184649837,8.29342168284,-61.1929873825,1.9928239814,608.384481726,RegularSpiker,0.243770314193,0.00254180602007,3.5619516932e-07
10,9.0,228.0,Layer5b,10.0,33087,90.3123507722,8.55504114526,-53.2776459414,2.07022725563,595.891987235,RegularSpiker,0.106743689564,0.00555183946488,2.99696243575e-08
11,8.5,238.0,Layer5b,11.0,16147,79.7309716975,8.56506661478,-62.7454229781,6.52333420261,697.081192614,RegularSpiker,0.0532127178396,0.0179933110368,3.59272357552e-10
12,10.8,192.0,Layer5a,12.0,140914,47.8358839434,4.91651531085,-15.0662725892,-3.0883752868,783.279404604,RegularSpiker,4.69447249859,0.00234113712375,8.8529907491e-17
13,8.9,230.0,Layer5b,13.0,1142,61.4614711033,7.93144560841,-237.315860459,8.69452597991,371.027086391,IntermediateSpiker,1.79076343073,0.00267558528428,0.961962985436
14,8.0,248.0,Layer5b,14.0,30883,51.6640789431,4.3293345418,-6.02223222165,-7.46707123037,789.52565185,RegularSpiker,1.29488133072,0.00254180602007,1.66068364501e-66
15,8.3,242.0,Layer5b,15.0,18261,64.2497398828,6.91227193086,-135.100770627,-8.47823749605,735.807925537,RegularSpiker,0.116590882593,0.00401337792642,7.19602896438e-15
16,18.0,48.0,Layer4,16.0,9701,106.344268632,11.063804867,74.2709544104,8.84016720905,785.777903502,RegularSpiker,0.0113211819314,0.0191973244147,2.02761973575e-17
17,16.2,84.0,Layer5a,17.0,27919,93.8489290447,8.9872280184,104.691165288,-10.5041812929,797.021148544,RegularSpiker,0.874460499156,0.0166555183946,0.00454401431928
18,17.9,50.0,Layer4,18.0,5662,93.202048746,10.8694261783,-108.201602131,1.44112530441,795.771899095,RegularSpiker,0.0,0.0186622073579,0.0159917736737
19,17.2,64.0,Layer4,19.0,10038,71.3325114565,9.09312236162,99.464815311,-1.64239930708,790.774901299,RegularSpiker,0.0110338739932,0.018127090301,3.97290935652e-07
20,16.9,70.0,Layer4,20.0,32868,69.7601922843,9.14862051346,-60.8634887862,-12.3968201549,253.597638173,FastSpiker,0.89119236482,0.00267558528428,3.44904138397e-05
21,17.9,50.0,Layer4,21.0,7869,136.07885373,14.1575615952,-43.6428411795,-3.00995180229,787.027152951,RegularSpiker,0.0142877553936,0.00367892976589,2.67916815898e-22
22,23.0,-52.0,Layer4,22.0,6178,124.130503399,12.2167158165,-113.073642848,-2.69671987854,795.771899095,RegularSpiker,0.0174703004892,0.00488294314381,4.26259972146e-09
23,22.8,-48.0,Layer4,23.0,17596,88.2171942487,9.44484484848,19.756305639,-4.56589597157,347.291346858,FastSpiker,0.243605359318,0.00541806020067,7.4002175626e-59
24,27.1,-134.0,Layer23,24.0,10758,156.166992006,7.9019240294,29.7722731867,-5.50391294676,787.027152951,RegularSpiker,7.65181791598,0.00354515050167,9.70865727593e-178
25,24.0,-72.0,Layer4,25.0,1050,209.830238095,11.9261232447,-142.217624521,3.27906397954,789.52565185,RegularSpiker,4.73876063183,0.00254180602007,9.238902919e-33
26,24.0,-72.0,Layer4,26.0,645,92.3333333333,5.55511754937,-79.1909471621,-6.67986197804,770.786910113,RegularSpiker,3.63636363636,0.00254180602007,2.56188929445e-08
27,24.0,-72.0,Layer4,27.0,12974,99.5576152305,9.08822451288,-15.145729124,-9.70460899232,128.67269326,FastSpiker,0.717662951706,0.00387959866221,6.06047555035e-18
28,24.0,-72.0,Layer4,28.0,6619,98.8685224354,6.72315707288,-28.0532010774,-10.2882833515,131.171192159,FastSpiker,0.606276747504,0.00588628762542,7.73681335521e-48
29,4.9,310.0,Layer5b,29.0,110840,155.736640653,10.0903207204,19.6150026755,-4.86688376174,740.804923334,RegularSpiker,4.76842595382,0.00301003344482,1.07602415043e-51
