,label,0.0,3.0,6.0,9.0,12.0,15.0,18.0,21.0,24.0,27.0,30.0,33.0
0.0,meanRate,10.3285273262,12.5281127809,14.6013728888,16.0164815032,13.2629356227,10.2290946002,5.37528194617,2.99501081139,4.82152468132,3.07710758824,3.85100092808,19.6078431373
0.0,numTrials,31.0,42.0,52.0,60.0,62.0,65.0,65.0,65.0,67.0,67.0,67.0,1.0
0.0,stdRate,4.45184963388,6.49990305284,8.2452377585,8.20874576779,9.98429641299,6.22518866557,4.68640647274,2.90243770716,3.8505880102,4.64809213684,6.41709210598,
1.0,meanRate,5.7769063227,8.3807674032,8.41178669594,9.14840366182,8.42404363293,7.18842166341,7.15580147982,4.93429163487,5.88657015831,6.01031692949,4.76258233507,0.0
1.0,numTrials,31.0,42.0,52.0,60.0,62.0,65.0,65.0,65.0,67.0,67.0,67.0,1.0
1.0,stdRate,2.59255076419,4.47465266085,5.61750177547,5.4619582028,6.04981610016,5.22979166771,4.59741279933,5.74498655921,5.84520314564,6.63785141842,7.93561092109,
2.0,meanRate,0.523915032507,0.763028247032,1.56498593964,3.22845127111,3.3625375207,0.924410986046,0.506583086672,0.778602840459,0.320014597477,0.362168904715,0.7281519573,0.0
2.0,numTrials,31.0,42.0,52.0,60.0,62.0,65.0,65.0,65.0,67.0,67.0,67.0,1.0
2.0,stdRate,1.7756265104,2.18227418257,3.12854460902,5.29785501674,5.4486331334,3.47473952029,2.08102683325,3.03568085961,1.20781789302,1.34858862535,4.22373200765,
3.0,meanRate,9.54987827712,14.4604077323,20.0832199432,24.6254939171,26.2819389717,26.4011447046,19.8856940336,12.7015530812,12.2772058797,10.8282372499,13.5076579779,19.6078431373
3.0,numTrials,31.0,42.0,52.0,60.0,62.0,65.0,65.0,65.0,67.0,67.0,67.0,1.0
3.0,stdRate,4.65531639858,7.08753459794,6.40884112314,9.10584497559,7.44404056849,7.82268865444,6.52770993018,5.90289981599,4.80078668945,5.79949396941,8.19702907641,
4.0,meanRate,1.9942501184,2.26901189895,4.70494548002,5.93051981545,7.76135860993,6.55934112718,3.97517795922,2.33069154597,1.98887025162,1.82524550397,0.980077882661,0.0
4.0,numTrials,31.0,42.0,52.0,60.0,62.0,65.0,65.0,65.0,67.0,67.0,67.0,1.0
4.0,stdRate,2.37100304034,2.47022057385,5.23073388442,4.73900458661,6.29955065091,5.72165988438,4.20647647364,4.06255850567,2.76354907557,3.27593501606,2.89917355724,
5.0,meanRate,0.993160190393,2.09997205,5.54611885855,5.0507852594,3.40786017266,2.08390122438,0.825515025953,0.863927078734,0.746966017262,0.625229256962,0.426439232409,0.0
5.0,numTrials,31.0,42.0,52.0,60.0,62.0,65.0,65.0,65.0,67.0,67.0,67.0,1.0
5.0,stdRate,1.69008558353,2.78082426973,4.9167718554,5.23207431355,3.91499618139,3.31309669581,1.93780399525,2.01860866657,2.34881788478,2.41498307064,2.44942568172,
6.0,meanRate,13.9261921277,18.90912361,21.1665693442,18.0227837593,13.8859660006,12.2620927244,5.70526159395,2.65540559753,2.82530869426,2.55785487768,1.91282176235,0.0
6.0,numTrials,31.0,42.0,52.0,60.0,62.0,65.0,65.0,65.0,67.0,67.0,67.0,1.0
6.0,stdRate,7.04308610719,10.6758100703,9.6692671852,7.15667099948,6.62194868769,6.64444075442,4.04227926473,4.57380045869,5.49570654615,4.99809640612,4.90818292985,
7.0,meanRate,1.73289399161,1.9596651816,1.56237933065,2.44172588807,2.18412831612,3.41935194718,2.32171036587,1.72845062473,1.22237042454,1.05713787803,0.872459597809,0.0
7.0,numTrials,31.0,42.0,52.0,60.0,62.0,65.0,65.0,65.0,67.0,67.0,67.0,1.0
7.0,stdRate,2.1914683406,2.37471955759,2.12884283687,3.65687293947,2.91884839632,4.23048881954,3.67024854328,3.72438334414,2.42538701011,2.58698678721,3.42345780172,
8.0,meanRate,14.7310613241,10.9667177204,15.4855313727,16.4468184173,19.4178472998,18.020529263,7.87591992548,6.21605364437,5.83852357367,4.64733692352,4.33897420187,39.2156862745
8.0,numTrials,31.0,42.0,52.0,60.0,62.0,65.0,65.0,65.0,67.0,67.0,67.0,1.0
8.0,stdRate,10.1196705255,11.0183157822,12.0519298687,10.9644451342,12.4775104633,13.4062743715,9.19977849718,8.68434567239,8.40883364245,8.15876002166,9.28811229388,
9.0,meanRate,10.1046947627,11.8296019816,11.0866911294,9.61105763358,9.13972716221,6.12975697059,0.909057470508,1.83229097308,1.76081778125,2.20087703,1.8842464593,0.0
9.0,numTrials,31.0,42.0,52.0,60.0,62.0,65.0,65.0,65.0,67.0,67.0,67.0,1.0
9.0,stdRate,6.80100647833,6.70192444224,9.25175151696,7.6298068658,7.15988648638,7.15591193139,2.02876270681,3.17365411796,3.12134516305,4.0536533794,6.73538790057,
10.0,meanRate,10.3477633004,17.1458448283,26.3624853517,25.9917651867,21.1485997879,18.7883660883,3.75604475461,0.723585955197,0.452430113879,0.147278732548,0.0,0.0
10.0,numTrials,31.0,42.0,52.0,60.0,62.0,65.0,65.0,65.0,67.0,67.0,67.0,1.0
10.0,stdRate,6.96168514202,9.69815042583,9.40679602151,8.31092585862,9.02627066191,10.5762824429,4.59213264426,1.93156590646,1.52554874006,0.62538139729,0.0,
11.0,meanRate,1.21519630872,0.958429403467,1.15879888032,1.09383600827,1.06991112047,0.706861872997,1.22133474808,1.69280418169,2.03975865242,1.94448855275,2.53288452252,9.80392156863
11.0,numTrials,31.0,42.0,52.0,60.0,62.0,65.0,65.0,65.0,67.0,67.0,67.0,1.0
