,channelPeak,distLayer4,layer,sourceId,numSpikes,spkAmp,waveformSNR,firingDrift,spkAmpDrift,spkWidth,cellType,rateFA,peakTimeISI,pVal,pValClosed
0,5.0,284.0,Layer5b,0.0,4407,42.8783185841,6.50829273512,-104.167214992,-7.03930076872,798.270397994,RegularSpiker,0.434546442151,0.00588628762542,5.59554216938e-72,7.74873780577e-90
1,5.0,284.0,Layer5b,1.0,4298,44.7520939972,9.24199460463,164.858828716,1.69498770785,549.669757617,RegularSpiker,0.0563063063063,0.010635451505,9.91579513795e-08,1.2694274446e-06
2,9.1,202.0,Layer5b,2.0,11719,128.144700913,17.5013872856,150.362720026,-8.75232700752,544.67275982,RegularSpiker,0.0,0.00367892976589,1.80519654698e-50,1.21373041982e-51
3,9.9,186.0,Layer5a,3.0,11111,136.372558726,16.1016527789,-161.292825339,-11.1805488581,548.420508168,RegularSpiker,0.167652859961,0.00267558528428,9.56228367199e-88,9.02284282508e-85
4,6.9,246.0,Layer5b,4.0,5439,41.6695624196,7.19834263551,-44.8784764502,-3.42174588897,720.816932148,RegularSpiker,4.52127659574,0.00254180602007,3.00588228081e-130,7.47342866488e-125
5,6.8,248.0,Layer5b,5.0,15133,60.3635928104,10.9812669239,63.5276680419,-0.852874915358,648.360464098,RegularSpiker,0.0209336403601,0.00849498327759,0.00199297650523,0.0736114999555
6,3.0,324.0,Layer5b,6.0,8909,49.6557975081,9.25316411096,-8.93065953793,-9.72656474581,679.591700326,RegularSpiker,0.571783716594,0.00254180602007,2.64482276979e-65,1.49714469984e-74
7,5.0,284.0,Layer5b,7.0,78116,36.0374283117,6.80788763665,-33.9573018573,-10.6169101402,292.324371096,FastSpiker,0.411126434389,0.0120401337793,5.71029607811e-211,2.70009340509e-239
8,6.0,264.0,Layer5b,8.0,15354,48.4170085971,9.5292038273,-76.5946883463,-7.21493778903,518.438521389,RegularSpiker,0.16190342109,0.0189966555184,8.11383373453e-22,1.34862098258e-38
9,11.0,164.0,Layer5a,9.0,31993,125.856671772,16.1796174095,-6.30639145631,-10.5313358899,557.165254312,RegularSpiker,0.0195109261186,0.0179933110368,7.00672151336e-314,2.49351222248e-295
10,10.7,170.0,Layer5a,10.0,10983,59.4655376491,9.84845739668,-143.40817888,-2.36811477097,787.027152951,RegularSpiker,0.00999400359784,0.00775919732441,1.36408032919e-56,2.58604282965e-42
11,13.0,124.0,Layer5a,11.0,9554,132.81751099,22.2588254231,16.1212512422,-9.15004656185,583.399492743,RegularSpiker,0.0,0.014381270903,5.88188721517e-09,5.77844513312e-16
12,11.9,146.0,Layer5a,12.0,27810,59.6020226537,14.8614799845,47.0492662879,-9.16605948346,783.279404604,RegularSpiker,0.0150602409639,0.00809364548495,1.06021419943e-41,1.50551590041e-54
13,13.2,120.0,Layer5a,13.0,48960,96.3399867239,11.6256621522,35.8127817555,-19.9370530632,737.057174986,RegularSpiker,6.24266308905,0.00254180602007,1.03289119782e-52,1.20621967686e-63
14,12.1,142.0,Layer5a,14.0,26156,45.9301689861,6.97202286919,2.02026321965,-0.773932028498,780.780905706,RegularSpiker,0.534093647097,0.00321070234114,1.33340245959e-23,2.81904545812e-41
15,14.1,102.0,Layer5a,15.0,6970,65.7544117647,10.5532223847,-13.6119681006,-6.18459254557,419.747814907,IntermediateSpiker,0.0338581344168,0.00334448160535,4.87716312652e-30,9.76938456946e-26
16,14.1,102.0,Layer5a,16.0,4955,99.1148335015,13.3089668283,-49.2621661782,-10.7913154332,787.027152951,RegularSpiker,0.0,0.00929765886288,1.89682217573e-58,1.18571806877e-59
17,14.9,86.0,Layer5a,17.0,11436,35.3337924099,6.29248805047,-89.2367276306,-6.11286587402,226.114150292,FastSpiker,1.81017612524,0.00220735785953,9.30045577417e-46,5.38796752362e-71
18,15.0,84.0,Layer5a,18.0,3492,36.7695446735,7.07762844996,-18.3995057233,-5.79430933292,793.273400197,RegularSpiker,0.0381970970206,0.00688963210702,6.00454808634e-42,9.7717622993e-42
19,14.1,102.0,Layer5a,19.0,12311,50.7988384372,8.67085303732,44.7516812196,-1.39146714099,798.270397994,RegularSpiker,0.106695118698,0.0140468227425,3.72916470104e-11,4.85742160106e-42
20,26.0,-136.0,Layer23,20.0,11252,104.047236047,9.64548226455,-149.692401542,-7.54893635883,257.345386521,FastSpiker,8.37025167311,0.00167224080268,4.32398252735e-28,4.25613516394e-16
21,16.2,60.0,Layer4,21.0,14322,44.011642927,10.0047043054,8.42731062147,-3.24996790687,740.804923334,RegularSpiker,0.0152893509671,0.0101672240803,3.14192594146e-20,3.53349317896e-23
22,16.0,64.0,Layer4,22.0,119070,47.4371189216,8.71663724988,-19.9957386532,-3.79999820556,278.582627156,FastSpiker,3.72872724186,0.00555183946488,1.03356750854e-151,9.73988500104e-150
